City,Country,Subcountry,Geonameid
Baalbek,Lebanon,Baalbek-Hermel,277130
Baao,Philippines,Bicol,1729814
Baar,Switzerland,Zug,2661653
Baardheere,Somalia,Gedo,65170
Baarn,Netherlands,Utrecht,2759544
Bab Ezzouar,Algeria,Alger,2505854
Babaeski,Turkey,Kırklareli,751371
Babahoyo,Ecuador,Los Ríos,3660418
Babana,Nigeria,Niger,2348507
Babat,Indonesia,East Java,1650888
Babati,Tanzania,Manyara,161312
Babenhausen,Germany,Hesse,2953770
Baberu,India,Uttar Pradesh,1278064
Babijn,Aruba,N/A,3577277
Babo-Pangulo,Philippines,Central Luzon,1729734
BABOR - VILLE,Algeria,Sétif,6698360
Babruysk,Belarus,Mogilev,630468
Babu,China,Guangxi Zhuangzu Zizhiqu,1817858
Babushkin,Russia,Moscow,579870
Bacabal,Brazil,Maranhão,3406910
Bachhraon,India,Uttar Pradesh,1278036
Back Mountain,United States,Pennsylvania,5178800
Backnang,Germany,Baden-Württemberg,2953568
Bacoli,Italy,Campania,3182599
Bacolod City,Philippines,Western Visayas,1729564
Bacoor,Philippines,Calabarzon,1729524
Bad Aibling,Germany,Bavaria,2953558
Bad Arolsen,Germany,Hesse,2955421
Bad Bentheim,Germany,Lower Saxony,2953552
Bad Berleburg,Germany,North Rhine-Westphalia,2953545
Bad Driburg,Germany,North Rhine-Westphalia,2953525
Bad Essen,Germany,Lower Saxony,2953464
Bad Harzburg,Germany,Lower Saxony,2953449
Bad Hersfeld,Germany,Hesse,2953439
Bad Honnef,Germany,North Rhine-Westphalia,2953435
Bad Kissingen,Germany,Bavaria,2953424
Bad Kreuznach,Germany,Rheinland-Pfalz,2953416
Bad Laasphe,Germany,North Rhine-Westphalia,2882091
Bad Langensalza,Germany,Thuringia,2953413
Bad Lippspringe,Germany,North Rhine-Westphalia,2953405
Bad Mergentheim,Germany,Baden-Württemberg,2953402
Bad Nauheim,Germany,Hesse,2953395
Bad Neuenahr-Ahrweiler,Germany,Rheinland-Pfalz,2953391
Bad Neustadt an der Saale,Germany,Bavaria,2953389
Bad Oeynhausen,Germany,North Rhine-Westphalia,2953386
Bad Oldesloe,Germany,Schleswig-Holstein,2953385
Bad Pyrmont,Germany,Lower Saxony,2953379
Bad Rappenau,Germany,Baden-Württemberg,2953374
Bad Reichenhall,Germany,Bavaria,2953371
Bad Salzuflen,Germany,North Rhine-Westphalia,2953358
Bad Salzungen,Germany,Thuringia,2953357
Bad Schwartau,Germany,Schleswig-Holstein,2953347
Bad Segeberg,Germany,Schleswig-Holstein,2953341
Bad Soden am Taunus,Germany,Hesse,2953339
Bad Vilbel,Germany,Hesse,2953321
Bad Waldsee,Germany,Baden-Württemberg,2953320
Bad Wildungen,Germany,Hesse,2953317
Bad Zwischenahn,Germany,Lower Saxony,2953310
Badagara,India,Kerala,1278023
Badagry,Nigeria,Lagos,2348395
Badajoz,Spain,Extremadura,2521420
Badalona,Spain,Catalonia,3129028
Badarganj,Bangladesh,Rangpur Division,1185283
Baddi,India,Himachal Pradesh,7279742
Baddomalhi,Pakistan,Punjab,1184075
Baden,Switzerland,Aargau,2661646
Baden,Austria,Lower Austria,2782067
Baden-Baden,Germany,Baden-Württemberg,2953504
Badger,United States,Alaska,5879898
Badlapur,India,Maharashtra,1277976
Badou,Togo,Plateaux,2367660
Badulla,Sri Lanka,Uva,1250615
Badvel,India,Andhra Pradesh,1277949
Baekrajan,Indonesia,Central Java,1650815
Baena,Spain,Andalusia,2521415
Baesweiler,Germany,North Rhine-Westphalia,2953302
Baeza,Spain,Andalusia,2521413
Bafang,Cameroon,West,2235196
Bafia,Cameroon,Centre,2235194
Bafilo,Togo,Kara,2367656
Bafoussam,Cameroon,West,2235189
Bafra,Turkey,Samsun,751335
Bagaha,India,Bihar,1277939
Bagaha,India,Bihar,1277940
Bagalkot,India,Karnataka,1277936
Bagamoyo,Tanzania,Pwani,161290
Bagan Serai,Malaysia,Perak,1734409
Bagar,India,Rajasthan,1277930
Bagasra,India,Gujarat,1277924
Bagayevskaya,Russia,Rostov,579771
Baggabag B,Philippines,Cagayan Valley,1729324
Baghdad,Iraq,Mayorality of Baghdad,98182
Bagheria,Italy,Sicily,2525628
Bagneux,France,Île-de-France,3035409
Bagnolet,France,Île-de-France,3035403
Bagnoli,Italy,Campania,3182518
Bago,Myanmar,Bago,1300466
Bago City,Philippines,Western Visayas,1729085
Bagong Pagasa,Philippines,Calabarzon,1966336
Bagua Grande,Peru,Amazonas,3699484
Baguim do Monte,Portugal,Porto,2742506
Baguio,Philippines,Cordillera,1728930
Baharampur,India,West Bengal,1277820
Baharly,Turkmenistan,Ahal,162158
Bahau,Malaysia,Negeri Sembilan,1734839
Bah-Bah,Philippines,Caraga,1728825
Baheri,India,Uttar Pradesh,1277814
Bahir Dar,Ethiopia,Amhara,342884
Bahjoi,India,Uttar Pradesh,1277808
Bahraigh,India,Uttar Pradesh,1277799
Bahula,India,West Bengal,7302862
Baia Mare,Romania,Maramureş,685826
Baia Mare,Romania,Satu Mare,6697993
Baia Sprie,Romania,Maramureş,685823
Baicheng,China,Jilin Sheng,2038569
Baidoa,Somalia,Bay,64536
Baie-Comeau,Canada,Quebec,5889745
Baie-Mahault,Guadeloupe,Guadeloupe,3579767
Baiersbronn,Germany,Baden-Württemberg,2953197
Baihar,India,Madhya Pradesh,1277776
Baihe,China,Guangxi Zhuangzu Zizhiqu,1817701
Baijiantan,China,Xinjiang Uygur Zizhiqu,1529626
Baildon,United Kingdom,England,2656627
Bail-Hongal,India,Karnataka,1277765
Bainbridge Island,United States,Washington,5816320
Baiquan,China,Heilongjiang Sheng,2038541
Bais,Philippines,Central Visayas,1728772
Baise City,China,Guangxi Zhuangzu Zizhiqu,1816269
Baishan,China,Jilin Sheng,2038584
Baishishan,China,Jilin Sheng,2038529
Baixo Guandu,Brazil,Espírito Santo,3471061
Baiyin,China,Gansu Sheng,1817240
Baj Baj,India,West Bengal,1277723
Baja,Hungary,Bács-Kiskun,3055685
Bajos de Haina,Dominican Republic,San Cristóbal,3512128
Bakal,Russia,Chelyabinsk,579738
Bakau,Gambia,Banjul,2413920
Bakersfield,United States,California,5325738
Bakhchysaray,Ukraine,Crimea,712969
Bakhmach,Ukraine,Chernihiv,712967
Baki,Indonesia,Central Java,1650670
Baki,Somalia,Awdal,8045596
Bako,Ethiopia,"Southern Nations, Nationalities, and People's Region",342856
Bakri,Malaysia,Johor,1732871
Baksan,Russia,Kabardino-Balkariya,579574
Balabanovo,Russia,Kaluga,579529
Balad,Iraq,Salah ad Din Governorate,98112
Balagtas,Philippines,Central Luzon,1728584
Balaguer,Spain,Catalonia,3128978
Balaipungut,Indonesia,Riau,1650600
Balaka,Malawi,Southern Region,931865
Balaklava,Ukraine,Misto Sevastopol’,712930
Balakliya,Ukraine,Kharkiv,712926
Balakovo,Russia,Saratov,579492
Balamban,Philippines,Central Visayas,1728546
Balanga,Philippines,Central Luzon,1728523
Balapulang,Indonesia,Central Java,1650572
Balashikha,Russia,MO,579464
Balashov,Russia,Saratov,579460
Balasore,India,Odisha,1277599
Balassagyarmat,Hungary,Nógrád,3055601
Balayan,Philippines,Calabarzon,1728336
Balbriggan,Ireland,Leinster,2966794
Balch Springs,United States,Texas,4672059
Baldwin,United States,New York,5107760
Baldwin,United States,Pennsylvania,5178940
Baldwin Park,United States,California,5325866
Balen,Belgium,Flanders,2802743
Balezino,Russia,Udmurtiya,579432
Balfour,South Africa,Mpumalanga,1021396
Bali,Cameroon,North-West Province,2235029
Balikpapan,Indonesia,East Kalimantan,1650527
Balingen,Germany,Baden-Württemberg,2953089
Baliuag,Philippines,Central Luzon,1727995
Balkanabat,Turkmenistan,Balkan,161616
Balkh,Afghanistan,Balkh,1147290
Ballarat,Australia,Victoria,2177091
Ballenger Creek,United States,Maryland,4347839
Ballerup,Denmark,Capital Region,2624341
Ballitoville,South Africa,KwaZulu-Natal,1021360
Ballwin,United States,Missouri,4375663
Ballymena,United Kingdom,Northern Ireland,2656490
Balma,France,Languedoc-Roussillon-Midi-Pyrénées,3035204
Balod,India,Chhattisgarh,1277535
Balqash,Kazakhstan,Qaraghandy,1525798
Balsas,Brazil,Maranhão,3406545
Balta,Ukraine,Odessa,712886
Baltimore,United States,Maryland,4347778
Baltiysk,Russia,Kaliningrad,2609906
Balung,Indonesia,East Java,1650460
Balwyn North,Australia,Victoria,7932629
Balykchy,Kyrgyzstan,Ysyk-Köl,1527004
Balyqshy,Kazakhstan,Atyraū,610445
Balzar,Ecuador,Guayas,3660361
Bam,Iran,Kerman,141736
Bama,Nigeria,Borno,2347954
Bamako,Mali,Bamako,2460596
Bambang,Philippines,Cagayan Valley,1727663
Bambanglipuro,Indonesia,Daerah Istimewa Yogyakarta,1650434
Bambari,Central African Republic,Ouaka,240604
Bamberg,Germany,Bavaria,2952984
Bamenda,Cameroon,North-West Province,2234974
Bamiantong,China,Heilongjiang Sheng,2038482
Bamusso,Cameroon,South-West Province,2234941
Ban Bang Kadi Pathum Thani,Thailand,Phra Nakhon Si Ayutthaya,1620875
Ban Bueng,Thailand,Chon Buri,1620371
Ban Chalong,Thailand,Phuket,7091861
Ban Chang,Thailand,Rayong,1620254
Ban Dung,Thailand,Changwat Udon Thani,1619650
Ban Houakhoua,Laos,Bokeo Province,1904391
Ban Huai Thalaeng,Thailand,Nakhon Ratchasima,1603235
Ban Khlong Bang Sao Thong,Thailand,Samut Prakan,1604452
Ban Lam Luk Ka,Thailand,Pathum Thani,1617111
Ban Mai,Thailand,Songkhla,1601579
Ban Mo,Thailand,Sara Buri,1616658
Ban Na,Thailand,Sukhothai,1156257
Ban Na San,Thailand,Surat Thani,1156046
Ban Nong Wua So,Thailand,Changwat Udon Thani,1599640
Ban Phaeo,Thailand,Samut Sakhon,1614465
Ban Phai,Thailand,Khon Kaen,1614455
Ban Phan Don,Thailand,Changwat Udon Thani,1614336
Ban Pong,Thailand,Ratchaburi,1155139
Ban Rangsit,Thailand,Pathum Thani,1613769
Ban Ratsada,Thailand,Phuket,7091912
Ban Selaphum,Thailand,Roi Et,1613284
Ban Tak,Thailand,Tak,1154677
Ban Talat Bueng,Thailand,Chon Buri,1620442
Ban Talat Nua,Thailand,Phuket,1117656
Ban Talat Yai,Thailand,Phuket,1117652
Banamba,Mali,Koulikoro,2460546
Banat,India,Uttar Pradesh,1277409
Banaybanay,Philippines,Calabarzon,1727522
Banaz,Turkey,Uşak,322051
Banbridge,United Kingdom,Northern Ireland,2656407
Banbury,United Kingdom,England,2656406
Banda,India,Madhya Pradesh,1277398
Banda Aceh,Indonesia,Aceh,1215502
Bandar,Indonesia,North Sumatra,1215498
Bandar Labuan,Malaysia,Sabah,7302815
Bandar Lampung,Indonesia,Lampung,1624917
Bandar Seri Begawan,Brunei,Brunei and Muara,1820906
Bandar-e Lengeh,Iran,Hormozgan,141665
Bandeirantes,Brazil,Paraná,3470912
Banderilla,Mexico,Veracruz,3532414
Bandipura,India,Kashmir,1277358
Bandundu,Democratic Republic of the Congo,Bandundu,2317397
Bandung,Indonesia,West Java,1650357
Banes,Cuba,Holguín,3567869
Banfora,Burkina Faso,Cascades,2362909
Bang Ban,Thailand,Phra Nakhon Si Ayutthaya,1619616
Bang Bo District,Thailand,Samut Prakan,1620919
Bang Bua Thong,Thailand,Nonthaburi,1619602
Bang Krathum,Thailand,Phitsanulok,1619437
Bang Kruai,Thailand,Nonthaburi,1619434
Bang Lamung,Thailand,Chon Buri,1619423
Bang Len,Thailand,Nakhon Pathom,1619415
Bang Mun Nak,Thailand,Phichit,1619400
Bang Pa-in,Thailand,Phra Nakhon Si Ayutthaya,1619369
Bang Pakong,Thailand,Chachoengsao,1619363
Bang Phae,Thailand,Ratchaburi,1157683
Bang Racham,Thailand,Sing Buri,1619281
Bang Rakam,Thailand,Phitsanulok,1619276
Bang Saphan,Thailand,Prachuap Khiri Khan,1157662
Banga,India,Punjab,1277338
Banganapalle,India,Andhra Pradesh,1277330
Bangaon,India,Bihar,1277322
Bangaon,India,West Bengal,1277324
Bangassou,Central African Republic,Mbomou,240498
Bangil,Indonesia,East Java,1650319
Bangkalan,Indonesia,East Java,1650298
Bangkok,Thailand,Bangkok,1609350
Bangolo,Ivory Coast,Dix-Huit Montagnes,2292179
Bangor,United Kingdom,Northern Ireland,2656396
Bangor,United Kingdom,Wales,2656397
Bangor,United States,Maine,4957280
Bangui,Central African Republic,Bangui,2389853
Baniachang,Bangladesh,Sylhet,1185274
Banikoara,Benin,Alibori,2395317
Banja Luka,Bosnia and Herzegovina,Republika Srpska,3204541
Banjar,Indonesia,Bali,1650232
Banjar,Indonesia,West Java,1650234
Banjaran,Indonesia,West Java,1650227
Banjarmasin,Indonesia,South Kalimantan,1650213
Banjul,Gambia,Banjul,2413876
Bankra,India,West Bengal,1348747
Bankstown,Australia,New South Wales,2176947
Banmankhi,India,Bihar,1277263
Banning,United States,California,5326032
Bannu,Pakistan,Khyber Pakhtunkhwa,1183460
Banora Point,Australia,New South Wales,2176934
Banqiao,Taiwan,Taipei,1670029
Bansalan,Philippines,Davao,1727080
Banstead,United Kingdom,England,2656379
Bantayan,Philippines,Central Visayas,1727043
Banting,Malaysia,Selangor,1734781
Bantul,Indonesia,Daerah Istimewa Yogyakarta,1650119
Banyo,Cameroon,Adamaoua,2234794
Banyoles,Spain,Catalonia,3128885
Banyumas,Indonesia,Central Java,1650095
Banyuwangi,Indonesia,East Java,1650077
Baoding,China,Hebei,1816971
Baoqing,China,Heilongjiang Sheng,2038446
Baoshan,China,Heilongjiang Sheng,2038438
Baotou,China,Inner Mongolia,2038432
Baoying,China,Jiangsu,1816890
Baqubah,Iraq,Diyālá,97990
Bar,Ukraine,Vinnyts'ka,712861
Bar,Montenegro,Bar,3204509
Bar Bigha,India,Bihar,1277038
Barabai,Indonesia,South Kalimantan,1650064
Barabinsk,Russia,Novosibirsk,1510916
Baracoa,Cuba,Guantánamo,3567834
Barajas de Madrid,Spain,Madrid,3128832
Barakaldo,Spain,Basque Country,3109453
Baraki,Algeria,Tipaza,2505653
Baranagar,India,West Bengal,1277082
Baranoa,Colombia,Atlántico,3689235
Baranovichi,Belarus,Brest,630429
Baras,Philippines,Calabarzon,1726765
Barauli,India,Bihar,1277053
Baraut,India,Uttar Pradesh,1277044
Barbacena,Brazil,Minas Gerais,3470858
Barbacha,Algeria,Bejaïa,2505651
Barbalha,Brazil,Ceará,3406442
Barbastro,Spain,Aragon,3128795
Barbate de Franco,Spain,Andalusia,2521335
Barberena,Guatemala,Santa Rosa,3599582
Barberton,South Africa,Mpumalanga,1021086
Barberton,United States,Ohio,5146491
Barbil,India,Odisha,7279597
Barbosa,Colombia,Antioquia,3689205
Barbosa,Colombia,Santander,3689206
Barcarena,Brazil,Pará,3406429
Barcellona Pozzo di Gotto,Italy,Sicily,2525597
Barcelona,Spain,Catalonia,3128760
Barcelona,Venezuela,Anzoátegui,3648559
Barceloneta,Puerto Rico,Barceloneta,4562768
Barcelos,Portugal,Braga,2742416
Bardejov,Slovakia,Prešovský,725168
Bareggio,Italy,Lombardy,3182361
Bareilly,India,Uttar Pradesh,1277013
Barendrecht,Netherlands,South Holland,2759426
Barentu,Eritrea,Gash Barka,342711
Bargarh,India,Odisha,1276988
Bargi,India,Madhya Pradesh,1276982
Barhiya,India,Bihar,1276954
Bari,Italy,Apulia,3182351
Bariadi,Tanzania,Simiyu,161218
Barika,Algeria,Batna,2505629
Barinas,Venezuela,Barinas,3648546
Barinitas,Venezuela,Barinas,3648540
Bariri,Brazil,São Paulo,3470825
Barjala,India,Tripura,1276938
Barki Saria,India,Jharkhand,1276919
Barking,United Kingdom,England,2656333
Bar-le-Duc,France,Alsace-Champagne-Ardenne-Lorraine,3034911
Barletta,Italy,Apulia,3182340
Barmbek-Nord,Germany,Hamburg,7932342
Barnaul,Russia,Altai Krai,1510853
Barnet,United Kingdom,England,2656295
Barneveld,Netherlands,Gelderland,2759407
Barnsley,United Kingdom,England,2656284
Barnstable,United States,Massachusetts,4929771
Barnstaple,United Kingdom,England,2656281
Baro,Nigeria,Niger,2347592
Barpeta,India,Assam,1276867
Barpeta Road,India,Assam,7302849
Barquisimeto,Venezuela,Lara,3648522
Barra,Brazil,Bahia,3470821
Barra Bonita,Brazil,São Paulo,3470776
Barra do Bugres,Brazil,Mato Grosso,3470718
Barra do Corda,Brazil,Maranhão,3406318
Barra dos Coqueiros,Brazil,Sergipe,3470674
Barra Mansa,Brazil,Rio de Janeiro,3470636
Barra Velha,Brazil,Santa Catarina,3470597
Barranca,Peru,Lima region,3946820
Barrancabermeja,Colombia,Santander,3689169
Barrancas,Colombia,La Guajira,3689162
Barranqueras,Argentina,Chaco,3436124
Barranquilla,Colombia,Atlántico,3689147
Barras,Brazil,Piauí,3406263
Barreiras,Brazil,Bahia,3470583
Barreirinhas,Brazil,Maranhão,3406196
Barreiro,Portugal,Setúbal,2271071
Barreiros,Brazil,Pernambuco,3406160
Barretos,Brazil,São Paulo,3470451
Barrhead,United Kingdom,Scotland,2656258
Barrie,Canada,Ontario,5894171
Barrington,United States,Rhode Island,5220798
Barrinha,Brazil,São Paulo,3470428
Barroso,Brazil,Minas Gerais,3470369
Barrow in Furness,United Kingdom,England,2656241
Barry,United Kingdom,Wales,2656235
Barstow,United States,California,5326297
Barstow Heights,United States,California,5326305
Bartlesville,United States,Oklahoma,4529987
Bartlett,United States,Tennessee,4604183
Bartlett,United States,Illinois,4884141
Bartley Green,United Kingdom,England,7302130
Bartoszyce,Poland,Warmian-Masurian Voivodeship,776337
Bartow,United States,Florida,4146723
Barueri,Brazil,São Paulo,3470353
Baruta,Venezuela,Miranda,3648439
Baruun-Urt,Mongolia,Sühbaatar,2032614
Barysh,Russia,Ulyanovsk,578931
Basauri,Spain,Basque Country,6697039
Basel,Switzerland,Basel-City,2661604
Bashanet,Tanzania,Manyara,161204
Basi,India,Punjab,1276764
Basi,India,Punjab,1276765
Basi,India,Rajasthan,1276767
Basildon,United Kingdom,England,2656194
Basingstoke,United Kingdom,England,2656192
Baskil,Turkey,Elazığ,321929
Basmat,India,Maharashtra,1276757
Basni,India,Rajasthan,1276754
Basoko,Democratic Republic of the Congo,Eastern Province,219414
Basotu,Tanzania,Manyara,161197
Basrah,Iraq,Basra Governorate,99532
Bassano del Grappa,Italy,Veneto,3182297
Bassar,Togo,Kara,2367568
Basseterre,Saint Kitts and Nevis,Saint George Basseterre,3575551
Basse-Terre,Guadeloupe,Guadeloupe,3579732
Bassila,Benin,Donga,2395261
Bassum,Germany,Lower Saxony,2952252
Bastia,France,Corsica,3034640
Bastia umbra,Italy,Umbria,3182289
Bastos,Brazil,São Paulo,3470341
Baswa,India,Rajasthan,1276724
Bat Khela,Pakistan,Khyber Pakhtunkhwa,1183090
Bat Yam,Israel,Tel Aviv,295548
Bata,Equatorial Guinea,Litoral,2310046
Batac City,Philippines,Ilocos,1726339
Batang,Indonesia,Central Java,1649881
Batang Berjuntai,Malaysia,Selangor,1732892
Batangafo,Central African Republic,Ouham,2389691
Batangas,Philippines,Calabarzon,1726280
Batatais,Brazil,São Paulo,3470324
Batavia,United States,Illinois,4884192
Batavia,United States,New York,5108093
Bataysk,Russia,Rostov,578740
Bath,United Kingdom,England,2656173
Bathgate,United Kingdom,Scotland,2656169
Bathurst,Australia,New South Wales,2176632
Batikent,Turkey,Ankara,442301
Batley,United Kingdom,England,2656168
Batman,Turkey,Batman,321836
Batna,Algeria,Batna,2505572
Bato,Philippines,Bicol,1726156
Baton Rouge,United States,Louisiana,4315588
Batouri,Cameroon,East,2234663
Battambang,Cambodia,Battambang,1831797
Battaramulla South,Sri Lanka,Western,1250164
Battersea,United Kingdom,England,6690602
Batticaloa,Sri Lanka,Eastern Province,1250161
Battipaglia,Italy,Campania,3182272
Battle Creek,United States,Michigan,4985153
Battle Ground,United States,Washington,5786485
Batu,Indonesia,East Java,1649824
Batu Arang,Malaysia,Selangor,1732893
Batu Berendam,Malaysia,Melaka,1780890
Batu Gajah,Malaysia,Perak,1735268
Batu Pahat,Malaysia,Johor,1732687
Batumi,Georgia,Ajaria,615532
Baturaden,Indonesia,Central Java,1649595
Baturaja,Indonesia,South Sumatra,1649593
Bauan,Philippines,Calabarzon,1725991
Bauang,Philippines,Ilocos,1725983
Baucau,East Timor,Baucau,1649539
Bauchi,Nigeria,Bauchi,2347470
Bauda,India,Odisha,1276686
Baulkham Hills,Australia,New South Wales,2176592
Baumschulenweg,Germany,Berlin,2951935
Baunatal,Germany,Hesse,2951923
Bauru,Brazil,São Paulo,3470279
Bauta,Cuba,Artemisa,3567612
Bautzen,Germany,Saxony,2951881
Bavly,Russia,Tatarstan,578638
Bawku,Ghana,Upper East,2303287
Bawshar,Oman,Muḩāfaz̧at Masqaţ,288764
Bay,Philippines,Calabarzon,1725919
Bay City,United States,Michigan,4985180
Bay Point,United States,California,5326561
Bay Shore,United States,New York,5108169
Bay Village,United States,Ohio,5146675
Bayaguana,Dominican Republic,Monte Plata,3511626
Bayambang,Philippines,Ilocos,1725863
Bayamo,Cuba,Granma,3567597
Bayan,China,Heilongjiang Sheng,2038421
Bayanhongor,Mongolia,Bayanhongor,2032532
Bayanhongor,Mongolia,Bayanhongor,2032533
Bayawan,Philippines,Central Visayas,1725804
Baybay,Philippines,Eastern Visayas,1725799
Bayburt,Turkey,Bayburt,750938
Bayeux,France,Normandy,3034483
Bayeux,Brazil,Paraíba,3405940
Baykonyr,Kazakhstan,Bayqongyr Qalasy,1521368
Baymak,Russia,Bashkortostan,578534
Baynjiwayn,Iraq,As Sulaymānīyah,98012
Bayombong,Philippines,Cagayan Valley,1725729
Bayonet Point,United States,Florida,4146901
Bayonne,France,Aquitaine-Limousin-Poitou-Charentes,3034475
Bayonne,United States,New Jersey,5095445
Bayou Cane,United States,Louisiana,4315768
Bayramaly,Turkmenistan,Mary,1219762
Bayreuth,Germany,Bavaria,2951825
Bayshore Gardens,United States,Florida,4146934
Bayside,United States,California,5559320
Bayswater,United Kingdom,England,6545243
Baytown,United States,Texas,4672731
Bayugan,Philippines,Caraga,1725684
Baza,Spain,Andalusia,2521215
Bazar-Korgon,Kyrgyzstan,Jalal-Abad,1528717
Beacon,United States,New York,5108219
Beaconsfield,Canada,Quebec,5895650
